label,Cluster
_후쿠오카,2
_뉴욕,2
_밀라노,4
_방콕,3
_블라디보스톡,0
_도쿄,2
_청도,2
_프랑크푸르트,2
_오클랜드,2
_프라하,0
_마드리드,2
_베니스,4
_서울,2
_싱가포르,3
_런던,2
_토론토,2
_심천,2
_바르셀로나,2
_항주,2
_타이베이,3
_비엔나,0
_취리히,2
_자그레브,2
_나고야,2
_로마,4
_마닐라,2
_파리,0
_호치민,0
_마카오,3
_푸켓,3
_대련,2
_연길,2
_나트랑,3
_삿포로,2
_홍콩,3
_괌,3
_오사카,1
_암스테르담,2
_쿠알라룸푸르,2
_브리즈번,2
_하노이,0
_광저우,2
_호놀룰루,2
_바르샤바,2
_멜버른,2
_오키나와,2
_샌프란시스코,2
_모스크바,2
_뮌헨,2
_로스앤젤레스,2
_심양,2
_이스탄불,2
_세부,3
_코타키나발루,3
_베이징,2
_시드니,2
_밴쿠버,2
_상하이,2
_다낭,0
_사이판,3
